Master Date List,Bin 5 Flow Data (gpm),,,Bin 5,,,,,,,,,,,,,,,,,,,Bin 5 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 5 Inflow (Bin 1),Bin 5 Outflow,Date,Bin 5 TDS,Bin 5 Sulfate,Bin 5 Chloride,Bin 5 Arsenic,Bin 5 Selenium,Bin 5 Chromium,Bin 5 Copper,Bin 5 Zinc,Bin 5 Nitrate,Bin 5 Nitrite,Bin 5 Phosphorus,Bin 5 COD,Bin 5 Boron,Bin 5 Color,Bin 5 Thallium,Bin 5 DOC,Bin 5 Nitrate + Nitrite as N,Bin 5 Sulfide,Date,Bin 5 Conductivity S/m,Bin 5 Conductivity µS/cm,Bin 5 DO mg/L,Bin 5 ORP,Bin 5 pH,Bin 5 Temp. Celsius,Bin 5 H2S mg/L
6/28/12,,,,6/28/12,NA,NA,NA,0.0384,0.0017,NA,NA,NA,2,NA,NA,NA,NA,,,,,,,,,,,,,
7/6/12,7/6/12,0.18125,0.16875,,,,,,,,,,,,,,,,,,,,7/6/12,,11340,0.35,-272,7.05,30.2,
7/11/12,7/11/12,0.15078125,0.0796875,,,,,,,,,,,,,,,,,,,,7/11/12,,11490,0.25,-241,7.18,31.8,
7/13/12,,,,7/13/12,10300,2490,3380,0.0205,0.02,0.01,NA,NA,2,2,0.89,310,NA,,,,,,,,,,,,,
7/20/12,7/20/12,0.15,0.11328125,,,,,,,,,,,,,,,,,,,,7/20/12,,11090,0.28,-270,7.02,31.1,
7/27/12,7/27/12,0.1015625,0.0671875,,,,,,,,,,,,,,,,,,,,7/27/12,,,,,,,
8/3/12,8/3/12,0.30859375,0.015625,,,,,,,,,,,,,,,,,,,,8/3/12,,12090,0.32,-266,7.16,32.8,
8/8/12,8/8/12,0.10859375,0.05625,,,,,,,,,,,,,,,,,,,,8/8/12,,12820,0.91,-264,7.03,33.4,
8/15/12,8/15/12,0.1328125,0.109375,8/15/12,NA,NA,NA,0.0232,0.0012,NA,NA,NA,2,NA,NA,NA,NA,,,,,,8/15/12,,11580,0.52,-273,7.11,34,
8/27/12,8/27/12,0.13671875,0.09375,,,,,,,,,,,,,,,,,,,,8/27/12,,10920,0.56,-273,7.06,32.5,
8/29/12,,,,8/29/12,9180,2260,3090,0.0192,0.0115,0.01,NA,NA,2,NA,0.78,740,NA,,,,,,,,,,,,,
9/12/12,9/12/12,0.109375,0.08203125,,,,,,,,,,,,,,,,,,,,9/12/12,,11980,0.45,-204,7.11,30,
9/19/12,9/19/12,0.13203125,0.1015625,,,,,,,,,,,,,,,,,,,,9/19/12,,11050,,-186,7.17,29.5,
9/25/12,9/25/12,0.1046875,0.05625,,,,,,,,,,,,,,,,,,,,9/25/12,,10920,,-199,7.19,28.3,
9/26/12,,,,9/26/12,9700,2400,3230,0.01,0.004,0.015,NA,NA,2,NA,1,290,NA,,,,,,,,,,,,,
10/31/12,,,,10/31/12,11400,2760,3900,0.0125,0.002,0.005,NA,NA,2,NA,0.59,300,1.51,,,,,,,,,,,,,
11/2/12,11/2/12,0.1484375,0.1234375,,,,,,,,,,,,,,,,,,,,11/2/12,,12960,,-157,6.94,22.5,
11/9/12,11/9/12,0.0921875,0.69375,,,,,,,,,,,,,,,,,,,,11/9/12,,10920,,-199,7.19,28.3,
